question,answer,image_path,HasImage
Das Finale, Los geht's!,,False
Wie heißt der letzte Einsatzbereich der am Ende einer Texas Hold'em-Runde offenbart wird?, Der River,,False
Wie nennt man eine Hand bei der alle fünf Karten dieselbe Farbe haben?, Flush,,False
Welcher Sport ist das?,Cricket,static\images\download 5_20240808170708_Leon.jpg,True
Was ist das beliebteste Reiseziel der Deutschen?, Mallorca,,False
Welche Hand ist höher ein Full House oder ein Flush?, Full House,,False
Was ist die höchste mögliche Hand im Poker?, Royal Flush,,False
Welcher Planet ist das?,Venus,static\images\download 3_20240808170538_Leon.jpg,True
Die Chinesische Mauer ist das einzige von Menschenhand geschaffene Bauwerk das man vom Mond aus sehen kann?, Falsch,,False
Der Mensch hat insgesamt 280 Knochen im Körper?, Falsch,,False
Der groesste Ozean der Welt?, Atlantik,,Falseqwertz,qwerty,,False
